plz1;plz2;Distanz_convert_in_km
01998;48147;433.528
31632;61130;260.446
72469;97440;219.431
83666;99427;361.424
30175;84184;463.847
07957;84565;280.075
29392;74172;387.954
24887;54306;555.215
52538;97828;285.947
52388;73095;315.567
04315;72297;417.777
47279;67061;243.208
54597;72519;302.85
09488;31715;331.803
38170;85652;444.069
37281;86513;326.058
24976;30179;260.063
60388;86879;273.928
76767;89160;133.41
24106;63839;504.032
40724;41068;39.358
97956;98739;146.64
28327;71069;485.827
20354;82140;602.691
49779;90419;462.996
56346;66649;84.4814
67806;79104;180.554
12157;25992;432.467
71729;94527;264.546
81739;90441;155.233
86633;88267;149.642
45657;71282;332.941
38440;82288;479.489
86845;98597;282.382
72669;86420;110.481
59969;70469;259.142
48734;84432;525.523
92539;94136;124.815
10369;49597;369.48
83365;97280;299.656
54689;86655;355.433
67125;98529;212.725
56077;86399;325.574
46147;94163;559.521
67716;83253;373.151
09526;92702;150.267
60599;87496;276.885
29471;99842;248.707
29496;74838;412.34
67147;84524;357.687
10367;65529;436.781
25924;75015;646.43
06922;83254;424.356
56829;73101;240.458
87437;88499;81.0201
58515;72644;310.694
74547;85111;113.297
86502;97273;155.415
85104;91336;110.981
28325;55122;344.721
35444;97656;109.05
32278;91608;339.489
21397;48455;253.242
51702;89189;324.151
22113;95515;413.187
26903;56316;269.328
26603;33602;176.15
08209;72534;324.574
26624;56814;370.748
06800;92355;273.53
29320;63820;338.122
24376;34537;402.322
18437;82362;730.947
08547;86971;318.202
83128;96450;274.325
24149;48161;315.888
18249;86465;601.739
08233;54340;398.49
66640;93199;382.802
97078;97785;50.5473
64686;95491;197.079
04924;82404;447.07
13359;34320;300.866
24109;82279;698.095
55425;81737;347.151
67732;84478;376.11
69118;94253;318.857
03096;94366;335.994
24641;73340;585.877
16306;91177;497.735
06548;94550;351.66
10407;94267;384.612
56269;82237;376.551
72291;84095;262.644
51427;94256;469.562
50668;73105;320.893
67811;87700;253.8
35619;85655;377.445
01591;94431;293.898
18119;38467;198.36
13629;56341;469.104
63939;97503;92.1503
27245;70182;424.602
22549;86510;595.555
40599;72364;365.035
69117;72229;91.6663
32689;42555;152.62
53783;94436;451.819
17207;51105;471.816
39120;79856;531.828
06869;99427;129.347
10781;24401;340.34
16816;67693;517.547
25832;95173;507.526
45896;85256;480.617
